Sensor id; Sensor center x; Sensor center y;
8;608.0;221.0;
17;658.773438;262.859375;
23;516.0;297.0;
24;607.867188;303.585938;
27;341.0;397.0;
28;406.0;369.0;
29;478.0;359.0;
30;554.0;366.0;
34;388.0;462.0;
35;453.0;446.0;
36;516.0;430.0;
38;395.0;574.0;
39;461.0;541.0;
40;528.0;509.0;
41;583.0;450.0;
42;633.0;388.0;
43;687.0;340.0;
44;740.0;297.0;
46;418.0;662.0;
47;475.0;638.0;
48;543.0;598.0;
49;604.0;545.0;
50;652.0;480.0;
51;708.0;416.0;
52;761.0;360.0;
54;498.0;749.0;
55;560.0;684.0;
56;614.0;635.0;
57;670.0;573.0;
58;722.0;502.0;
59;777.0;434.0;
60;838.0;370.0;
61;591.0;771.0;
62;653.0;712.0;
63;696.0;656.0;
64;742.0;590.0;
65;788.0;515.0;
66;849.0;458.0;
67;632.0;831.0;
68;676.0;783.0;
69;730.0;729.0;
70;775.0;667.0;
71;815.0;600.0;
72;848.0;531.0;
73;656.0;872.0;
74;804.0;722.0;
75;855.0;650.0;
76;889.0;583.0;
77;911.0;498.0;
78;916.0;420.0;
79;899.0;342.0;
82;695.0;897.0;
83;851.0;753.0;
84;875.0;699.0;
87;960.0;461.0;
88;951.0;382.0;
91;744.0;907.0;
92;785.0;865.0;
95;912.0;753.0;
99;988.0;436.0;
102;811.0;878.0;
103;844.0;844.0;
111;871.0;846.0;
244;378.0;839.0;
245;429.0;888.0;
248;433.0;848.0;
252;495.0;827.0;
253;563.0;833.0;
255;617.0;918.0;
256;664.0;929.0;
