Index; Bbox ymin xmin ymax xmax; Label; Sensor id;
0; 89.41 488.6 121.3 538.45 ; 1; 
1; 287.03 743.25 334.19 780.53 ; 1; 
2; 278.04 798.95 323.86 829.49 ; 1; 
3; 360.24 796.7 404.7 833.08 ; 1; 
4; 446.02 811.97 494.52 851.49 ; 1; 
5; 493.63 862.27 544.38 891.91 ; 1; 
6; 350.0 412.5 394.0 459.5 ; 1; 
7; 94.8 562.25 124.44 612.11 ; 1; 
8; 222.8 745.95 265.92 786.82 ; 1; 
9; 146.87 375.3 184.0 427.65 ; 1; 
10; 488.5 235.5 535.5 270.5 ; 1; 
11; 568.75 272.04 617.25 313.96 ; 1; 
12; 629.71 854.64 681.36 882.03 ; 1; 
13; 661.6 874.4 712.35 900.45 ; 1; 
14; 542.13 822.3 591.54 859.13 ; 1; 
15; 567.28 871.26 618.93 900.45 ; 1; 
16; 358.44 176.0 412.33 206.99 ; 1; 
17; 508.0 180.04 561.0 212.38 ; 1; 
18; 441.98 153.55 497.67 182.74 ; 1; 
19; 654.7 244.26 708.5 298.7 ; 1; 
20; 143.57 476.23 188.2 527.6 ; 1; 
21; 208.56 418.36 254.7 472.5 ; 1; 
22; 274.68 370.42 327.1 425.7 ; 1; 
23; 340.2 337.96 388.9 391.0 ; 1; 
24; 411.41 293.4 465.9 345.19 ; 1; 
25; 103.66 423.97 136.3 474.0 ; 0; 
26; 201.13 328.8 251.3 381.02 ; 1; 
27; 272.82 288.9 324.8 336.3 ; 1; 
28; 343.31 256.2 393.1 296.74 ; 1; 
29; 422.46 208.29 479.4 248.9 ; 0; 
30; 105.34 347.4 132.7 395.29 ; 1; 
31; 154.82 296.8 195.6 342.3 ; 1; 
32; 214.88 253.6 259.7 297.08 ; 1; 
33; 358.53 732.31 404.9 773.9 ; 1; 
34; 434.23 758.2 484.4 804.5 ; 1; 
35; 518.78 755.52 569.4 801.8 ; 1; 
36; 595.6 710.34 649.7 760.0 ; 1; 
37; 653.41 649.2 706.0 702.33 ; 1; 
38; 610.28 798.82 662.7 837.0 ; 1; 
39; 677.77 737.55 734.7 787.8 ; 1; 
40; 479.3 306.6 533.1 359.0 ; 1; 
41; 404.36 367.31 461.7 423.3 ; 1; 
42; 281.89 468.3 334.4 529.5 ; 1; 
43; 211.52 528.5 260.3 580.0 ; 1; 
44; 141.7 547.26 184.8 600.0 ; 1; 
45; 623.21 314.26 681.5 369.8 ; 0; 
46; 563.62 368.57 615.5 421.5 ; 1; 
47; 479.3 393.8 530.7 446.6 ; 1; 
48; 700.36 809.07 753.4 851.1 ; 0; 
49; 286.7 566.0 337.69 616.3 ; 1; 
50; 211.33 615.25 258.9 663.4 ; 1; 
51; 143.4 627.76 187.7 674.9 ; 1; 
52; 422.24 697.77 475.1 744.4 ; 0; 
53; 508.91 670.66 559.1 727.1 ; 1; 
54; 579.7 611.0 634.5 662.5 ; 1; 
55; 638.5 536.87 693.1 595.9 ; 1; 
56; 155.94 694.95 198.6 733.7 ; 1; 
57; 217.18 697.27 263.7 733.6 ; 1; 
58; 285.37 666.64 333.3 711.1 ; 1; 
59; 352.87 660.84 401.3 709.0 ; 1; 
60; 557.04 474.91 611.6 532.2 ; 1; 
61; 627.0 421.31 686.8 479.1 ; 1; 
