Sensor id; Sensor center x; Sensor center y;
1;444.738647;439.394165;
2;501.236145;338.892059;
3;570.740784;262.203125;
4;621.877502;203.820312;
10;544.186035;380.762482;
11;618.78833;307.804443;
12;681.964111;236.09375;
13;720.270386;196.606918;
18;672.25;351.273804;
19;735.259949;298.160522;
20;781.40625;250.051132;
21;803.040527;216.587616;
25;789.642761;369.006744;
26;829.994324;320.192841;
27;853.910522;278.285858;
31;826.630493;451.524078;
213;454.49646;240.502838;
214;516.481506;183.112305;
220;376.51944;457.715759;
221;423.021576;371.525024;
222;465.759583;294.679688;
223;527.921875;220.82103;
224;582.647705;180.46875;
225;366.888123;540.017029;
226;416.956604;537.423828;
227;354.387421;632.96875;
230;460.147064;582.205383;
231;401.946075;645.119751;
232;383.350067;729.397888;
233;371.566345;792.623962;
234;535.386719;602.022034;
235;466.560608;668.781799;
236;439.369873;745.376648;
237;415.289062;822.237244;
238;610.635315;637.318542;
239;536.20282;697.374146;
240;490.397308;757.960205;
241;891.557373;716.940979;
242;877.027405;792.380188;
246;872.174011;828.59552;
