Index; Bbox ymin xmin ymax xmax; Label; Sensor id;
0; 460.23 321.41 511.6 355.7 ; 1; 
1; 555.99 302.2 608.1 326.13 ; 1; 
2; 384.35 454.5 434.2 505.67 ; 1; 
3; 570.27 488.32 631.4 546.6 ; 1; 
4; 460.98 379.6 514.9 421.02 ; 1; 
5; 635.66 325.9 687.2 359.96 ; 1; 
6; 492.25 539.2 548.9 598.0 ; 1; 
7; 433.4 607.5 489.2 663.5 ; 1; 
8; 175.66 465.8 215.05 515.93 ; 1; 
9; 644.14 384.3 702.5 424.1 ; 0; 
10; 550.13 419.49 606.4 468.6 ; 1; 
11; 472.37 264.55 517.63 303.45 ; 1; 
12; 204.87 632.83 254.7 684.5 ; 1; 
13; 156.06 692.22 200.6 735.8 ; 1; 
14; 134.8 736.4 168.96 777.78 ; 1; 
15; 230.02 734.27 274.6 785.3 ; 1; 
16; 469.57 454.92 525.6 514.1 ; 1; 
17; 554.51 257.3 605.5 279.72 ; 1; 
18; 403.42 530.2 462.1 589.51 ; 0; 
19; 218.26 515.8 267.6 569.24 ; 1; 
20; 134.06 434.9 173.7 478.92 ; 1; 
21; 352.41 393.6 396.8 437.92 ; 1; 
22; 150.75 573.2 188.8 627.3 ; 1; 
23; 301.35 336.72 344.4 371.34 ; 1; 
24; 544.3 353.65 598.95 393.7 ; 1; 
25; 625.52 277.3 675.3 302.0 ; 1; 
26; 332.31 281.86 374.98 317.04 ; 1; 
27; 212.14 387.97 254.76 427.47 ; 1; 
28; 202.28 790.41 248.09 822.3 ; 1; 
29; 278.63 834.43 328.93 855.98 ; 1; 
30; 369.35 334.23 416.44 372.28 ; 1; 
31; 380.89 290.25 429.86 322.69 ; 1; 
32; 349.14 884.28 396.75 907.63 ; 1; 
33; 575.69 867.91 622.85 890.82 ; 1; 
34; 208.5 307.13 248.26 339.62 ; 1; 
35; 252.94 319.87 295.31 351.32 ; 1; 
36; 174.1 366.2 212.87 400.4 ; 1; 
37; 138.58 357.75 173.88 393.7 ; 1; 
38; 108.72 530.68 140.54 583.08 ; 1; 
39; 105.5 632.33 138.06 683.98 ; 1; 
40; 69.2 584.8 98.39 633.46 ; 1; 
41; 78.18 488.61 107.0 531.65 ; 1; 
42; 312.31 803.44 362.17 837.57 ; 0; 
43; 262.37 413.76 304.16 460.55 ; 1; 
