Sensor id; Sensor center x; Sensor center y;
4;301.0;443.0;
5;353.0;370.0;
6;399.0;306.0;
8;506.0;231.0;
12;333.0;497.0;
13;389.0;430.0;
14;442.0;360.0;
15;498.0;304.0;
16;549.0;270.0;
18;322.0;635.0;
19;377.0;575.0;
20;432.0;504.0;
21;492.0;427.0;
22;546.0;364.0;
23;597.0;314.0;
25;432.0;649.0;
26;486.0;591.0;
27;544.0;507.0;
28;597.0;439.0;
29;639.0;377.0;
31;493.0;727.0;
32;543.0;654.0;
33;597.0;579.0;
34;645.0;510.0;
35;685.0;452.0;
36;708.0;404.0;
37;651.0;660.0;
41;743.0;391.0;
224;294.0;393.0;
241;646.0;890.0;
242;674.0;915.0;
243;693.0;945.0;
244;688.0;861.0;
245;718.0;872.0;
